"ADRESA","ADRESARAW","LOCALITATE","NUME"
"strada liviu rebreanu nr. 1, ap. ii","STR. LIVIU REBREANU NR. 1, AP. II","TG MUREŞ","ADORIAN FELIX"
"strada vicilicilor nr. 3, parter","STR. VICILICILOR NR. 3, PARTER","VATRA DORNEI","AGACHE DUMITRIŢA GABRIELA"
"calea naţională, nr.103a","CALEA NAŢIONALĂ, Nr.103A","BOTOŞANI","AGACHI CORNELIA"
"calea nationala, nr.103a","Calea Nationala, Nr.103A","BOTOSANI","AGACHI STELIAN"
"bulevardul corvin nr. 5, ap. 1 şi 4","B-DUL CORVIN NR. 5, AP. 1 ŞI 4","HUNEDOARA","AIOANEI VIORICA "
"sector 1, calea floreasca nr. 85","BUCUREŞTI, SECTOR 1, CALEA FLOREASCA NR. 85","BUCUREŞTI","ALBU GHEORGHIŢA"
"mun. , strada gheorghe şincai nr.15, bl. 5.a, sc. 3, et. 2, ap.75, sec. 4","MUN. BUCUREŞTI, STR. GHEORGHE ŞINCAI NR.15, BL. 5.A, SC. 3, ET. 2, AP.75, SEC. 4","BUCUREŞTI","ALBU GHEORGHIŢA"
"piaţa trandafirilor, nr. 12, ap.vi","PIAŢA TRANDAFIRILOR, NR. 12, AP.VI","TÂRGU MUREŞ","ALBULESCU MARCELA-FELICIA"
"strada retezatului, nr. 14, jud. mureş","STR. RETEZATULUI, NR. 14, JUD. MUREŞ","TÂRGU MUREŞ","ALBULESCU MARCELA-FELICIA"
"eroilor, nr.1","EROILOR, Nr.1","TIRGU JIU","ALDOIU MARIANA MIRELA"
"bl. 2, parter","BL. 2, PARTER","MĂRĂCINENI","ALECSOIU CONSTANTIN"
"mircea cel batran, nr.172, bl.md14","MIRCEA CEL BATRAN, Nr.172, Bl.MD14","CONSTANTA","ALEXANDRESCU CIPRIAN"
"ion câmpineanu, nr.31, bl.4, sc.3, ap.54, sectorul 1","ION CÂMPINEANU, Nr.31, Bl.4, Sc.3, Ap.54, Sectorul 1","BUCURESTI","ALEXANDRESCU LIUBA LILIANA"
"calea victoriei, nr.103-105, sc.c, ap.52, parter, sectorul 1","Calea Victoriei, Nr.103-105, Sc.C, Ap.52, PARTER, Sectorul 1","BUCURESTI","ALEXANDRESCU SIANA LARISA"
"soseaua mihai bravu, nr. 107-109, bl. e1, ap. 170, sector 2","ŞOS. MIHAI BRAVU, NR. 107-109, BL. E1, AP. 170, SECTOR 2","BUCUREŞTI","ALEXANDRU ELENA SIMONA"
"general berthelot, nr.90, sectorul 1","Gen.Berthelot, Nr.90, Sectorul 1","BUCUREşTI","ALEXANDRU-POPA CAMELIA FLORENTINA"
"piata unirii, nr.5, jud. mureş","PIATA UNIRII, Nr.5, JUD. MUREŞ","TÂRGU-MUREŞ","ALMĂŞAN OLIMPIA"
"strada a.i. cuza nr. 10, bl. 12, sc. b, ap. 1 şi 2, parter","STR. A.I. CUZA NR. 10, BL. 12, SC. B, AP. 1 ŞI 2, PARTER","DOROHOI","AMARIE ALEXANDRU"
"strada dumitru furtună nr. 2-4, jud. botoşani","STR. DUMITRU FURTUNĂ NR. 2-4, JUD. BOTOŞANI","DOROHOI","AMARIE IOAN"
"strada siru haret nr. 4, ap. 3, parter","STR. SIRU HARET NR. 4, AP. 3, PARTER","DOROHOI","AMARIE IOAN"
"bulevardul timişoara, nr. 69a, bl.c13a, sc.a, parter, ap.2, sector 6","B-DUL TIMIŞOARA, NR. 69A, BL.C13A, SC.A, PARTER, AP.2, SECTOR 6","BUCURESTI","AMZULESCU MARIUS"
"strada soveja nr. 21a-21b,et. 3","STR. SOVEJA NR. 21A-21B,ET. 3","CONSTANŢA","ANASTASE AGNES -ALINA"
"calea 13 septembrie nr. 239, bl. v5, sc. 2, parter, ap. 37, sector 5","CALEA 13 SEPTEMBRIE NR. 239, BL. V5, SC. 2, PARTER, AP. 37, SECTOR 5","BUCURESTI","ANDON MIHAELA VICTORIA"
"strada lugojului nr. 27","STR. LUGOJULUI NR. 27","GHIRODA","ANDRAŞ CORNELIU"
"strada mareşal averescu nr. 12a, jud. mehedinţi","STR. MAREŞAL AVERESCU NR. 12A, JUD. MEHEDINŢI","Drobeta-Turnu Severin","ANDRECA CRISTIAN-VALENTIN"
"maresal averescu, nr.12","MARESAL AVERESCU, Nr.12","DROBETA TURNU SEVERIN","ANDRECA ION"
"mircea cel batran, nr.148, bl.e2, sc.a, ap.4","Mircea cel Batran, Nr.148, Bl.E2, Sc.A, Ap.4","CONSTANTA","ANDREI OCTAVIAN"
"mihai viteazu, nr.6","MIHAI VITEAZU, Nr.6","CARANSEBES","ANDRONACHE RENEE LIDIA"
"soseaua alexandriei, nr. 142, bl. d1, sc. 1, parter","ŞOS. ALEXANDRIEI, NR. 142, BL. D1, SC. 1, PARTER","CORNETU","ANGHEL LILIANA-CERASELA"
"strada păcii, bl. a, parter","STR. PĂCII, BL. A, PARTER","FĂUREI","ANGHEL RALUCA- CATRINEL-ELENA "
"strada banul antonache, nr. 45-47, ap. 2 şi 3, sect. 1","STR. BANUL ANTONACHE, NR. 45-47, AP. 2 ŞI 3, SECT. 1","BUCUREŞTI","ANGHENI ALEXANDRU-MIHNEA"
"piaţa unirii, nr. 12","PIAŢA UNIRII, NR. 12","NĂSĂUD","ANI MARIA-IOANA"
"bulevardul mihai eminescu nr. 63","B-DUL MIHAI EMINESCU NR. 63","BOTOŞANI","ANIŢEI RETA"
"sat dancu, nr. 11 a","SAT DANCU, NR. 11 A","HOLBOCA","ANTON GABRIELA"
"bulevardul aviatorilor nr. 49, ap. 3, et. 2, sector 1","BD. AVIATORILOR NR. 49, AP. 3, ET. 2, SECTOR 1","BUCUREŞTI","ANTONIU IRINA"
"strada vasile alecsandri,nr. 12, bl. 57, sc. 2, ap. 24, parter","STR. VASILE ALECSANDRI,NR. 12, BL. 57, SC. 2, AP. 24, PARTER","ADJUD","APETRII GABRIELA"
"strada gherghiţei, nr. 1, bl. 94, scara b, ap. 40, sector 2","STR. GHERGHIŢEI, NR. 1, BL. 94, SCARA B, AP. 40, SECTOR 2","BUCURESTI","APOSTOL ALINA-ROXANA"
"nicu gane, nr.5","NICU GANE, Nr.5","FĂLTICENI","APOSTOL MARIA"
"avrig, nr.63, bl.e2, sc.3, ap.68, sectorul 2","Avrig, Nr.63, Bl.E2, Sc.3, Ap.68, Sectorul 2","BUCURESTI","APOSTOL NICOLETA"
"strada gării, bl. 112, sc. 1, parter","STR. GĂRII, BL. 112, SC. 1, PARTER","ADJUD","APOSTOLESCU IRINA CRISTINA"
"dacia, nr.11, ap.1, sectorul 1","Dacia, Nr.11, Ap.1, Sectorul 1","BUCUREŞTI","APOSTU LUCIAN-CĂTĂLIN"
"strada gelu naum nr. 555","STR. GELU NAUM NR. 555","COMANA","APRODU ANDREEA"
"strada costache racoviţă, bl. r, ap. 84, jud. galaţi","TECUCI, STR. COSTACHE RACOVIŢĂ, BL. R, AP. 84, JUD. GALAŢI","TECUCI","ARGINT GEORGIANA INGRID"
"dristor, nr.100, bl.10a, sc.b, ap.48, parter, sectorul 3","DRISTOR, Nr.100, Bl.10A, Sc.B, Ap.48, PARTER, Sectorul 3","BUCURESTI","ARISTOTEL ARGENTINA"
"strada general eral teleman, nr. 20","STR. GENERAL TELEMAN, NR. 20","HUŞI","ARMAŞU MIHAI-IONUŢ"
"zece mese nr.6a, sectorul 2","ZECE MESE Nr.6A, Sectorul 2","BUCURESTI","ARON FLORENTINA"
"soseaua bucureşti-urziceni nr. 114","ŞOS. BUCUREŞTI-URZICENI NR. 114","AFUMAŢI","ARON MIHAI-FLORIN"
"bulevardul corneliu coposu,,nr.3, bl. 101,sc.4,et.1,ap.66,sector 3","B-DUL CORNELIU COPOSU,,NR.3, BL. 101,SC.4,ET.1,AP.66,SECTOR 3","BUCURESTI","ATANASIU DRAGOS-CLAUDIU-ERONIM"
"strada dr. grigore mora, nr. 16, parter , sect. 1","STR. DR. GRIGORE MORA, NR. 16, PARTER , SECT. 1","BUCUREŞTI","ATĂNĂSOAEI MIHAI-CRISTIAN"
"strada mihai viteazu nr. 23","STR. MIHAI VITEAZU NR. 23","SUCEAVA","ATĂNĂSOAEI PETRU"
"strada prof. i. moga, nr. 472, jud. sibiu","STR. PROF. I. MOGA, NR. 472, JUD. SIBIU","SALIŞTE","AVRAM ADRIANA"
"bulevardul ion mihalache, nr. 65, corp a,et. 1, ap. 3, sector 1","B-DUL ION MIHALACHE, NR. 65, CORP A,ET. 1, AP. 3, SECTOR 1","BUCUREŞTI","AVRAM DANIEL"
"soseaua giurgiului, bl. p22, sc.2, et.2, ap. 18","ŞOS. GIURGIULUI, BL. P22, SC.2, ET.2, AP. 18","01/12/2021","AVRAM DANIEL"
" c. dobrogeanu gherea, nr.1, bl.e2, sc.a, ap.3"," C. DOBROGEANU GHEREA, Nr.1, Bl.E2, Sc.A, Ap.3","TULCEA","AVRAM ELENA"
"strada victoriei nr. 2a","STR. VICTORIEI NR. 2A","TÂRGU BUJOR","AVRAM LAURA-ROXANA"
